model,family,validation_pr_auc,roc_auc,pr_auc,brier_score,checkpoint_path,val_prediction_path,holdout_prediction_path,score_column,config
catboost_gpu_subsample_train80,catboost_retrain80,,0.962099,0.732291,0.027866,artifacts/model_search/catboost_gpu_subsample_train80.cbm,,artifacts/model_search/catboost_gpu_subsample_train80_holdout_predictions.csv,risk_score,"{""iterations"": 1300, ""depth"": 8, ""learning_rate"": 0.05, ""l2_leaf_reg"": 6.0, ""random_strength"": 0.7, ""bootstrap_type"": ""Bernoulli"", ""subsample"": 0.85, ""border_count"": 254}"
catboost_gpu_subsample_plus_top2_transformers,weighted_ensemble,0.735097,0.963967,0.707092,0.051957,,,artifacts/model_search/catboost_gpu_subsample_plus_top2_transformers_holdout_predictions.csv,catboost_gpu_subsample_plus_top2_transformers,"{""catboost_gpu_subsample"": 0.7, ""transformer_encoder"": 0.12, ""transformer_encoder_wide"": 0.18}"
catboost_gpu_subsample_plus_transformer_encoder_wide,weighted_ensemble,0.734342,0.963881,0.707029,0.050907,,,artifacts/model_search/catboost_gpu_subsample_plus_transformer_encoder_wide_holdout_predictions.csv,catboost_gpu_subsample_plus_transformer_encoder_wide,"{""catboost_gpu_subsample"": 0.77, ""transformer_encoder_wide"": 0.23}"
catboost_gpu_subsample_logistic_stack,stacking,0.734643,0.964057,0.70663,0.061504,,,artifacts/model_search/catboost_gpu_subsample_logistic_stack_holdout_predictions.csv,catboost_gpu_subsample_logistic_stack,"{""weights"": {""catboost_gpu_subsample"": 5.615347, ""transformer_encoder"": 1.137685, ""transformer_encoder_wide"": 0.703867}, ""intercept"": -3.292546, ""models"": [""catboost_gpu_subsample"", ""transformer_encoder"", ""transformer_encoder_wide""]}"
catboost_gpu_subsample_plus_transformer_encoder,weighted_ensemble,0.733398,0.963737,0.705305,0.05408,,,artifacts/model_search/catboost_gpu_subsample_plus_transformer_encoder_holdout_predictions.csv,catboost_gpu_subsample_plus_transformer_encoder,"{""catboost_gpu_subsample"": 0.76, ""transformer_encoder"": 0.24}"
catboost_gpu_subsample_plus_transformer_encoder_long,weighted_ensemble,0.733705,0.964111,0.703124,0.053578,,,artifacts/model_search/catboost_gpu_subsample_plus_transformer_encoder_long_holdout_predictions.csv,catboost_gpu_subsample_plus_transformer_encoder_long,"{""catboost_gpu_subsample"": 0.75, ""transformer_encoder_long"": 0.25}"
catboost_gpu_subsample,catboost_search,0.730319,0.963532,0.70249,0.052735,artifacts/model_search/catboost_gpu_subsample.cbm,artifacts/model_search/catboost_gpu_subsample_val_predictions.csv,artifacts/model_search/catboost_gpu_subsample_holdout_predictions.csv,risk_score,"{""iterations"": 1300, ""depth"": 8, ""learning_rate"": 0.05, ""l2_leaf_reg"": 6.0, ""random_strength"": 0.7, ""bootstrap_type"": ""Bernoulli"", ""subsample"": 0.85, ""border_count"": 254}"
catboost_gpu_low_lr,catboost_search,0.728949,0.963762,0.700788,0.056565,artifacts/model_search/catboost_gpu_low_lr.cbm,artifacts/model_search/catboost_gpu_low_lr_val_predictions.csv,artifacts/model_search/catboost_gpu_low_lr_holdout_predictions.csv,risk_score,"{""iterations"": 2000, ""depth"": 8, ""learning_rate"": 0.025, ""l2_leaf_reg"": 6.0, ""random_strength"": 0.4, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 0.8, ""border_count"": 254}"
catboost_gpu_deep,catboost_search,0.729798,0.963541,0.700041,0.055606,artifacts/model_search/catboost_gpu_deep.cbm,artifacts/model_search/catboost_gpu_deep_val_predictions.csv,artifacts/model_search/catboost_gpu_deep_holdout_predictions.csv,risk_score,"{""iterations"": 1500, ""depth"": 8, ""learning_rate"": 0.035, ""l2_leaf_reg"": 7.0, ""random_strength"": 1.0, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 254}"
catboost_gpu_base,catboost_search,0.727668,0.963021,0.699584,0.059035,artifacts/model_search/catboost_gpu_base.cbm,artifacts/model_search/catboost_gpu_base_val_predictions.csv,artifacts/model_search/catboost_gpu_base_holdout_predictions.csv,risk_score,"{""iterations"": 1200, ""depth"": 7, ""learning_rate"": 0.05, ""l2_leaf_reg"": 5.0, ""random_strength"": 0.5, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 0.5, ""border_count"": 254}"
catboost_gpu_regularized,catboost_search,0.720861,0.96316,0.690013,0.061425,artifacts/model_search/catboost_gpu_regularized.cbm,artifacts/model_search/catboost_gpu_regularized_val_predictions.csv,artifacts/model_search/catboost_gpu_regularized_holdout_predictions.csv,risk_score,"{""iterations"": 1600, ""depth"": 7, ""learning_rate"": 0.04, ""l2_leaf_reg"": 9.0, ""random_strength"": 1.5, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.5, ""border_count"": 254}"
catboost_gpu_fast,catboost_search,0.714674,0.960847,0.680233,0.069239,artifacts/model_search/catboost_gpu_fast.cbm,artifacts/model_search/catboost_gpu_fast_val_predictions.csv,artifacts/model_search/catboost_gpu_fast_holdout_predictions.csv,risk_score,"{""iterations"": 900, ""depth"": 6, ""learning_rate"": 0.07, ""l2_leaf_reg"": 4.0, ""random_strength"": 0.25, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 0.3, ""border_count"": 128}"
transformer_encoder,deep_existing,0.686946,0.951335,0.654732,0.074196,,artifacts\deep_models\transformer_encoder_val_predictions.csv,artifacts/deep_models/transformer_encoder_holdout_predictions.csv,risk_score,"{""max_seq_len"": 24, ""d_model"": 96, ""num_heads"": 4, ""num_layers"": 2, ""dropout"": 0.15, ""batch_size"": 256, ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""epochs"": 8, ""patience"": 2, ""scheduler_name"": null}"
transformer_encoder_wide,deep_existing,0.683207,0.950197,0.651712,0.05944,,artifacts\deep_models\transformer_encoder_wide_val_predictions.csv,artifacts/deep_models/transformer_encoder_wide_holdout_predictions.csv,risk_score,"{""max_seq_len"": 36, ""d_model"": 128, ""num_heads"": 8, ""num_layers"": 3, ""dropout"": 0.1, ""batch_size"": 192, ""learning_rate"": 0.0005, ""weight_decay"": 5e-05, ""epochs"": 12, ""patience"": 3, ""scheduler_name"": ""cosine""}"
transformer_encoder_long,deep_existing,0.679173,0.952318,0.64588,0.069003,,artifacts\deep_models\transformer_encoder_long_val_predictions.csv,artifacts/deep_models/transformer_encoder_long_holdout_predictions.csv,risk_score,"{""max_seq_len"": 48, ""d_model"": 160, ""num_heads"": 8, ""num_layers"": 4, ""dropout"": 0.1, ""batch_size"": 128, ""learning_rate"": 0.00035, ""weight_decay"": 5e-05, ""epochs"": 14, ""patience"": 4, ""scheduler_name"": ""cosine""}"
gru_attention,deep_existing,0.668134,0.954016,0.614848,0.068123,,artifacts\deep_models\gru_attention_val_predictions.csv,artifacts/deep_models/gru_attention_holdout_predictions.csv,risk_score,"{""hidden_size"": 96, ""num_layers"": 2, ""dropout"": 0.2, ""max_seq_len"": 24, ""batch_size"": 256, ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""epochs"": 8, ""patience"": 2, ""scheduler_name"": null}"
tcn,deep_existing,0.441989,0.854348,0.363498,0.147328,,artifacts\deep_models\tcn_val_predictions.csv,artifacts/deep_models/tcn_holdout_predictions.csv,risk_score,"{""channels"": [64, 64, 64], ""kernel_size"": 3, ""dropout"": 0.15, ""max_seq_len"": 24, ""batch_size"": 256, ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""epochs"": 8, ""patience"": 2, ""scheduler_name"": null}"
